Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,120,0.0058,,,,3.31,0,0,7.54,240 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,121,0.0098,,,,4.29,9,0,7.51,280 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,122,0.0097,,,,4.57,2,0,7.46,360 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Sadekali,0.0412,,,,2.92,2,0,7.78,370 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,124,0.0163,,,,0.3,0,0,7.29,340 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,123,0.0169,,,,2.1,7,0,7.35,260 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,125,0.0282,,,,4.48,0,0,7.42,320 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Dihipara,West Bengal Voluntary Health Association (WBVHA),Muntajali,0.0648,,,,3.29,17,0,7.69,325 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Gavapara,West Bengal Voluntary Health Association (WBVHA),Jummamasjida,0.0512,,,,3.44,11,0,7.65,320 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Aminulsk,0.0395,,,,4.12,7,0,7.86,375 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Primaryschool,0.0521,,,,3.15,2,0,7.79,320 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,106,0,,,,0.1126,0,0,7.16,452 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,101,0,,,,0.404,0,0,7.34,452 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,102,0,,,,0.5521,2,0,7.3,492 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,103,0,,,,1.912,0,0,7.27,352 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,110,0,,,,0.2936,0,0,7.15,756 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,109,0,,,,0.8883,2,0,7.22,348 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,104,0,,,,0.4572,4,0,7.28,520 
21/6/2010,Murshidabad ,RANINAGAR-II,KATLAMARI-II,Nabipur ,PUBLIC,TW,Puratondigree,Rural National Club,108,0,,,,7240,0,0,7.21,320 
18/6/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-I,Ramnagar Khastaluk ,PUBLIC,TW,Khastaluk,Rural National Club,77,0,,,,0.0924,2,0,7.17,480 
18/6/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-I,Ramnagar Khastaluk ,PUBLIC,TW,Khastaluk,Rural National Club,76,0,,,,0.3475,0,0,7.19,336 
